Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals,,,,,,,,,,
0.938974009,0.202637885,0.328646982,0.619357249,0.044239086,0.082555137,250,500,57,20,27,11,,,,,,,,,,
0.910766166,0.183202272,0.299241755,0.625385964,0.042410405,0.079377242,250,500,57,20,27,19,,,,,,,,,,
0.928201308,0.336122929,0.48795889,0.629225524,0.098112589,0.169139163,250,500,57,20,49,3,,,,,,,,,,
0.91604833,0.306250015,0.454040351,0.714551047,0.108478125,0.188303827,250,500,57,20,49,11,,,,,,,,,,
0.918916122,0.252528519,0.387725512,0.53815633,0.066017798,0.117295873,250,500,57,20,49,19,,,,,,,,,,
0.764681668,0.510636718,0.611970021,0.742066106,0.48344834,0.585412811,250,500,99,2.5,5,3,,,,,,,,,,
0.815966889,0.473249555,0.596830951,0.787596739,0.45014351,0.572353148,250,500,99,2.5,5,11,,,,,,,,,,
0.813349868,0.476283301,0.599166714,0.804272232,0.480568155,0.601616473,250,500,99,2.5,5,19,,,,,,,,,,
0.806678279,0.548852761,0.652533527,0.691716778,0.373898484,0.485295794,250,500,99,2.5,27,3,,,,,,,,,,
0.835741231,0.465506271,0.596286225,0.734557995,0.358364375,0.481661764,250,500,99,2.5,27,11,,,,,,,,,,
0.812860269,0.495755002,0.614791938,0.746138381,0.341806693,0.468483781,250,500,99,2.5,27,19,,,,,,,,,,
0.767330052,0.569912283,0.653635013,0.637170673,0.392585306,0.485699777,250,500,99,2.5,49,3,,,,,,,,,,
0.822785013,0.548953151,0.657017634,0.684737873,0.311338097,0.427981616,250,500,99,2.5,49,11,,,,,,,,,,
0.836302978,0.514871809,0.636068841,0.706679239,0.30059276,0.421243461,250,500,99,2.5,49,19,,,,,,,,,,
0.847758403,0.16334987,0.272763701,0.745543235,0.125854987,0.215073245,250,500,99,11.25,5,3,,,,,,,,,,
0.847178594,0.151216544,0.254750736,0.742268717,0.122955886,0.210909878,250,500,99,11.25,5,11,,,,,,,,,,
