Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation
0.511827213,0.173558656,0.257627318,733,50,249,8.333333333,31
0.577107774,0.233152728,0.331784002,733,50,249,8.333333333,52
0.577017598,0.255759727,0.354088996,733,50,249,8.333333333,73
0.532572946,0.087236832,0.149065108,733,50,249,14.16666667,10
0.589946379,0.146736842,0.233936857,733,50,249,14.16666667,31
0.648290945,0.201821925,0.307048974,733,50,249,14.16666667,52
0.6869041,0.234548631,0.348075656,733,50,249,14.16666667,73
0.585559494,0.078976934,0.13821351,733,50,249,20,10
0.65945249,0.158130885,0.254454459,733,50,249,20,31
0.681823485,0.198288169,0.305648805,733,50,249,20,52
0.761421433,0.230861651,0.35258946,733,50,249,20,73
0.561381881,0.271412094,0.362669167,733,200,15,2.5,10
0.576315973,0.452456311,0.50575714,733,200,15,2.5,31
0.631321453,0.439814535,0.514207871,733,200,15,2.5,52
0.659178981,0.469091083,0.546393348,733,200,15,2.5,73
0.639936955,0.194354285,0.297056276,733,200,15,8.333333333,10
0.749718741,0.314242797,0.44068918,733,200,15,8.333333333,31
0.740414383,0.419913484,0.533742558,733,200,15,8.333333333,52
0.666855719,0.281279848,,733,200,15,8.333333333,73
0.765304247,0.246378692,0.36716525,733,200,15,14.16666667,10
0.782979718,0.265785359,0.392384914,733,200,15,14.16666667,31
0.839243539,0.403518056,0.54372781,733,200,15,14.16666667,52
0.756730619,0.29973846,0.419919509,733,200,15,14.16666667,73
0.786595235,0.206455909,0.325242354,733,200,15,20,10
0.82001069,0.22098754,0.341925066,733,200,15,20,31
0.756243655,0.180033723,0.289020221,733,200,15,20,52
0.805208825,0.296415155,0.428438948,733,200,15,20,73
0.61026284,0.422074073,0.497865811,733,200,93,2.5,10
0.566663108,0.495881189,0.528550589,733,200,93,2.5,31
0.587731023,0.53322782,0.558687253,733,200,93,2.5,52
0.584851676,0.499995502,0.538731771,733,200,93,2.5,73
0.621784286,0.230094759,0.334766393,733,200,93,8.333333333,10
0.645162022,0.279552143,0.389575792,733,200,93,8.333333333,31
0.693777952,0.306417601,0.423394067,733,200,93,8.333333333,52
0.678436698,0.31127879,0.424809719,733,200,93,8.333333333,73
0.630849867,0.162941708,0.256755653,733,200,93,14.16666667,10
0.701875753,0.227157438,0.341827695,733,200,93,14.16666667,31
0.737543042,0.240751644,0.359361,733,200,93,14.16666667,52
